#nodecoordinate	computederr	logerror	h1error	h2error
-3              		-6.83087		-3		-6
-4              		-8.85609		-4		-8
-5              		-10.8911		-5		-10
-6              		-13.1571		-6		-12
-7              		-16.0386		-7		-14
-8              		-18.036		-8		-16
